[GIN] 2026/09/11 - 14:19:26 | 200 |       4.514ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:26 | 200 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2026/09/11 - 14:19:26 | 200 |      6.9178ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:26 | 200 |      6.9178ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:27 | 200 |     1.614988s |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/09/11 - 14:19:53 | 200 |   26.0727878s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:19:55 | 200 |    1.7279506s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:19:55 | 200 |      2.0931ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:19:55 | 200 |      3.1409ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:55 | 200 |      5.7324ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:55 | 200 |      5.6925ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:55 | 200 |      7.9445ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:55 | 200 |      8.5428ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:55 | 200 |      8.3592ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:58 | 200 |    2.9237324s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:19:58 | 200 |      1.0263ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:19:58 | 200 |      3.6748ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:58 | 200 |      5.4737ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:58 | 200 |      5.4737ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:58 | 200 |      5.4737ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:58 | 200 |      5.4737ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:19:58 | 200 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2026/09/11 - 14:20:00 | 200 |    1.8740114s |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/09/11 - 14:21:48 | 200 |         1m48s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:21:49 | 200 |      1.5629ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:21:49 | 200 |      4.2448ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:21:49 | 200 |      4.3924ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:21:49 | 200 |      5.4162ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:21:49 | 200 |      5.9866ms |       127.0.0.1 | POST     "/api/show"
